plot,rate,pattern,treatment,block,quadrat,fall_can,sp_can,rye_kg,STEME_bio,VERAR_bio,VIOAR_bio,CERVU_bio,THLAR_bio,SETFA_bio,ERPVE_bio,VERPG_bio,CIRAE_bio,AMBEL_bio,LAMAM_bio,CHEAL_bio,CARHI_bio,weeds_g0.25m,weeds_KgHa,tillers_n,soybean_17.5,soybean_ac
101,112,row,112r,B1,A,0.0068,0.3035,3992,0.018,0.017,0.418,0,0,0,0.06,0,0,0,0,0,0,0.513,20.52,NA,NA,NA
102,28,row,28r,B1,A,0.0252,0.1819,2288,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0.112,4.48,NA,NA,NA
103,112,grid,112g,B1,A,0.0484,0.1201,2648,0.113,0.009,0,0,0,0,0,0,0,0,0,0,0,0.122,4.88,NA,NA,NA
104,56,row,56r,B1,A,0.015,0.1811,2932,0.02,0.037,0,0,0,0,0,0,0,0,0,0,0,0.057,2.28,NA,NA,NA
105,168,grid,168g,B1,A,0.0179,0.0785,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
106,0,control,control,B1,A,0.0001,0.0001,0,0.828,0,0,0,0,0.008,0,0,0,0,0,0,0,0.836,33.44,NA,NA,NA
107,56,grid,56g,B1,A,0.0592,0.2894,4192,0.047,0.03,0,0,0,0,0,0,0,0,0,0,0,0.077,3.08,NA,NA,NA
108,28,grid,28g,B1,A,0.0076,0.1295,2488,0.123,0.161,0,0,0.034,0.003,0.002,0.005,0,0,0,0,0,0.328,13.12,NA,NA,NA
109,168,row,168r,B1,A,0.0234,0.1911,3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
201,112,grid,112g,B2,A,0.0267,0.1215,2052,0.023,0.021,0,0,0,0,0,0,0,0,0,0,0,0.044,1.76,NA,NA,NA
202,168,row,168r,B2,A,0.0299,0.1841,2852,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0.056,2.24,NA,NA,NA
203,112,row,112r,B2,A,0.0048,0.081,1668,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.44,NA,NA,NA
204,56,row,56r,B2,A,0.0031,0.0938,1872,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,6.68,NA,NA,NA
205,0,control,control,B2,A,0.0004,0.0022,0,2.871,0.576,0.022,0,0,0,0.204,0,0,0,1.27,0.039,0,4.982,199.28,NA,NA,NA
206,56,grid,56g,B2,A,0.0006,0.068,1072,0.002,0,0.484,0,0,0,0,0,0,0,0,0,0,0.486,19.44,NA,NA,NA
207,28,row,28r,B2,A,0.0015,0.0547,896,0.061,0,0,0.012,0,0,0,0.032,0,0,0,0,0,0.105,4.2,NA,NA,NA
208,28,grid,28g,B2,A,0.004,0.1108,1972,0,0.012,0,0,0,0,0.018,0,0,0,0,0,0,0.03,1.2,NA,NA,NA
209,168,grid,168g,B2,A,0.1281,0.3246,4304,0.006,0.032,0,0.005,0,0,0,0,0,0,0,0,0,0.043,1.72,NA,NA,NA
301,56,grid,56g,B3,A,0.0179,0.1771,2384,0.016,0.037,0,0,0,0,0,0,0,0,0,0,0,0.053,2.12,NA,NA,NA
302,28,grid,28g,B3,A,0.0319,0.206,3680,0.158,0,0,0.024,0.009,0,0,0,0,0,0,0,0,0.191,7.64,NA,NA,NA
303,112,row,112r,B3,A,0.0817,0.1874,3028,0.05,0.022,0.012,0,0,0,0,0,0,0,0,0,0,0.084,3.36,NA,NA,NA
304,28,row,28r,B3,A,0.0139,0.2076,2988,0.247,0,0.018,0,0.048,0,0.004,0,0,0,0,0,0,0.317,12.68,NA,NA,NA
305,112,grid,112g,B3,A,0.0508,0.1962,2260,0.183,0,0,0,0,0,0,0,1.044,0.017,0,0,0,1.244,49.76,NA,NA,NA
306,168,grid,168g,B3,A,0.1427,0.3436,4524,0.043,0.001,0,0.097,0,0,0,0,0,0,0,0,0,0.141,5.64,NA,NA,NA
307,168,row,168r,B3,A,0.0229,0.2395,3316,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.32,NA,NA,NA
308,56,row,56r,B3,A,0.0114,0.0964,2148,0.215,0,0,0,0,0,0.144,0,0,0,0,0,0,0.359,14.36,NA,NA,NA
309,0,control,control,B3,A,0.0004,0.0005,0,1.518,0,0,0.011,0.066,0.207,0.326,0.107,0,0,0.063,0.035,0.233,2.566,102.64,NA,NA,NA
101,112,row,112r,B1,B,0.0844,0.1335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,28,row,28r,B1,B,0.0397,0.1619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,112,grid,112g,B1,B,0.0268,0.0683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
