plot,year,rate,pattern,block,rye_bio,verar_bio,abuth_bio,lamam_bio,cervu_bio,steme_bio,erpve_bio,tarof_bio,cheal_bio,setfa_bio,prnso_bio,trfre_bio,poatr_bio,unknown_bl_bio,medlu_bio,oxast_bio,vioar_bio,thlar_bio,verpg_bio,cirae_bio,ambel_bio,carhi_bio,weed_bio_tot,rye_kg,weed_kg
101,2022,112,row,1,99.8,0.017,0,0,0,0.018,0.06,0,0,0,0,0,0,0,0,0,0.418,0,0,0,0,0,0.513,3992,20.52
102,2022,28,row,1,57.2,0,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,2288,4.48
103,2022,112,grid,1,66.2,0.009,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,2648,4.88
104,2022,56,row,1,73.3,0.037,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,2932,2.28
105,2022,168,grid,1,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,0
106,2022,0,na,1,0,0,0,0,0,0.828,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.836,0,33.44
107,2022,56,grid,1,104.8,0.03,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,4192,3.08
108,2022,28,grid,1,62.2,0.161,0,0,0,0.123,0.002,0,0,0.003,0,0,0,0,0,0,0,0.034,0.005,0,0,0,0.328,2488,13.12
109,2022,168,row,1,77.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3116,0
201,2022,112,grid,2,51.3,0.021,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,2052,1.76
202,2022,168,row,2,71.3,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,2852,2.24
203,2022,112,row,2,41.7,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,1668,0.44
204,2022,56,row,2,46.8,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,1872,6.68
205,2022,0,na,2,0,0.576,0,1.27,0,2.871,0.204,0,0.039,0,0,0,0,0,0,0,0.022,0,0,0,0,0,4.982,0,199.28
206,2022,56,grid,2,26.8,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.484,0,0,0,0,0,0.486,1072,19.44
207,2022,28,row,2,22.4,0,0,0,0.012,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0.105,896,4.2
208,2022,28,grid,2,49.3,0.012,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,1972,1.2
209,2022,168,grid,2,107.6,0.032,0,0,0.005,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,4304,1.72
301,2022,56,grid,3,59.6,0.037,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,2384,2.12
302,2022,28,grid,3,92,0,0,0,0.024,0.158,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0.191,3680,7.64
303,2022,112,row,3,75.7,0.022,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0.084,3028,3.36
304,2022,28,row,3,74.7,0,0,0,0,0.247,0.004,0,0,0,0,0,0,0,0,0,0.018,0.048,0,0,0,0,0.317,2988,12.68
305,2022,112,grid,3,56.5,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,1.044,0.017,0,1.244,2260,49.76
306,2022,168,grid,3,113.1,0.001,0,0,0.097,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,4524,5.64
307,2022,168,row,3,82.9,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,3316,0.32
308,2022,56,row,3,53.7,0,0,0,0,0.215,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,2148,14.36
