plot,year,rate,pattern,block,rye.g,rye.bio,can_a,can_b,can_b_weedy,AMBEL,AMARE,SETFA,SETPU,DIGSA,DIGIS,VIOAR,OXAST,CHEAL,ERICA,SECCE,CERVU,MEDLU,SOPT7,VERAR,ABUTH,TAROF,STEME,ANGAR,TRFPR,PLAMA,ACCVI,CYPES,POLPE,CRUNU,PANDI,PRNSO,PLALA,VERPG,THLAR,POLCO,VICVI,POAAN,WEED.N,ambel.g,amare.g,setfa.g,setpu.g,digsa.g,digis.g,vioar.g,oxast.g,cheal.g,erica.g,secce.g,cervu.g,medlu.g,sopt7.g,verar.g,abuth.g,tarof.g,steme.g,angar.g,trfre.g,plama.g,accvi.g,cypes.g,polpe.g,crunu.g,pandi.g,prnso.g,plala.g,verpg.g,thlar.g,polco.g,vicvi.g,poaan.g,weed.g,weed.bio
101,1,112,row,1,99.8,3992,0.3035,0.1403,0.1335,12,0,267,0,0,2,0,2,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,20,0,48.5,0,0,0.074,0,0.042,0,0.076,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.092,1641.84
102,1,28,row,1,57.2,2288,0.1819,0.1593,0.1619,19,0,135,0,0,4,0,1,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,41.7,0,29.7,0,0,0.233,0,0.03,0,0.544,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.907,1618.14
103,1,112,grid,1,66.2,2648,0.1201,0.0786,0.0683,19,0,82,2,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,26.1,0,24.161,0.294,0.019,0,0.117,0.024,0,0.03,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.125,1022.5
104,1,56,row,1,73.3,2932,0.1811,0.1769,0.1793,19,0,163,0,1,0,5,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,24.6,0,31.884,0,0.011,0,0.209,0.028,0,0.031,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.963,1339.26
105,1,168,grid,1,47.2,1888,0.0785,0.1344,0.1247,29,0,108,0,0,0,0,1,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,40.8,0,23.216,0,0,0,0,0.041,0,0.165,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.922,1358.44
106,1,0,na,1,0,0,0.0001,0,0.0001,18,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,229.5,0,27.882,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.435,5148.7
107,1,56,grid,1,104.8,4192,0.2894,0.1749,0.1839,14,0,146,6,0,0,0,1,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,30.4,0,34.366,0.652,0,0,0,0.073,0,0.641,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,71.252,1425.04
108,1,28,grid,1,62.2,2488,0.1295,0.1052,0.1116,10,0,40,1,0,0,3,0,0,2,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,41.5,0,20.872,0,0,0,0.442,0.157,0,1.537,11.5,0,0,0,0,0.381,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,77.079,1541.58
109,1,168,row,1,77.9,3116,0.1911,0.1402,0.1485,4,0,118,0,0,2,2,0,0,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,5.4,0,51.307,0,0,0.214,0.035,0,0,0.319,1.8,0,0,0,0,0,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.564,1191.28
201,1,112,grid,2,51.3,2052,0.1215,0.1195,0.1273,7,1,114,11,0,0,2,0,0,5,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,16.9,0.016,24.6,1.459,0,0,0.096,0,0,1.888,1.7,0.074,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.133,962.66
202,1,168,row,2,71.3,2852,0.1841,0.1151,0.1267,9,3,56,0,7,1,5,1,1,4,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,29.2,0.093,14.54,0,0.399,0.065,0.343,0.029,0.026,0.675,4.5,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.938,998.76
203,1,112,row,2,41.7,1668,0.081,0.089,0.0914,7,0,111,7,0,1,5,1,0,1,9,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,161,8.6,0,22.777,1.266,0,0.071,0.388,0.134,0,0.048,1.6,0,0,0,0.02,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,37.704,754.08
204,1,56,row,2,46.8,1872,0.0938,0.0826,0.0868,6,0,132,24,0,0,1,0,0,0,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,17.4,0,25.928,4.4,0,0,0.05,0,0,0,4.1,0,0,0,0.06,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.038,1080.76
205,1,0,na,2,0,0,0.0022,0.0001,0.0019,10,0,64,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,143.7,0,30.46,0,0.061,0,0.59,0.068,0,0,0,0,0.476,0,0,0,0,0.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.856,3517.12
206,1,56,grid,2,26.8,1072,0.068,0.0787,0.0782,18,0,169,2,0,1,2,0,0,1,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,220,25.1,0,32.94,0.267,0,0.061,0.13,0,0,0.033,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,0,79.431,1588.62
207,1,28,row,2,22.4,896,0.0547,0.1038,0.1103,6,0,159,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,185,16.3,0,35.3,1.688,0,0,0.064,0,0,0,0,0.048,0,0,0,0,0,0,0,2.643,0,0,0,0,0,0,0,0,0,0,0,0,0,56.043,1120.86
208,1,28,grid,2,49.3,1972,0.1108,0.0794,0.0842,10,0,85,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,140,27.8,0,19.531,0,0,0,0.148,0,0,0.664,1.6,0.023,0,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,61.466,1229.32
209,1,168,grid,2,107.6,4304,0.3246,0.092,0.0896,9,0,140,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,14.3,0,34.4,0,0,0,0.017,0,0,0,13.1,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.889,1237.78
301,1,56,grid,3,59.6,2384,0.1771,0.1174,0.1284,4,0,263,13,13,3,3,4,0,10,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,326,4.3,0,53.429,3.7,0.604,0.098,0.201,0.071,0,1.061,3.1,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,66.863,1337.26
302,1,28,grid,3,92,3680,0.206,0.161,0.1634,24,0,301,2,0,0,0,3,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,19.6,0,44,0.343,0,0,0,0.051,0,0.006,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1,1502
