plot,year,rate,pattern,block,rye.g,rye.bio,can_a,can_b,can_b_weedy,WEED.N,weed.g,AMBEL.RA,AMARE.RA,SETFA.RA,SETPU.RA,DIGSA.RA,DIGIS.RA,VIOAR.RA,OXAST.RA,CHEAL.RA,ERICA.RA,SECCE.RA,CERVU.RA,MEDLU.RA,SOPT7.RA,VERAR.RA,ABUTH.RA,TAROF.RA,STEME.RA,ANGAR.RA,TRFPR.RA,PLAMA.RA,ACCVI.RA,CYPES.RA,POLPE.RA,CRUNU.RA,PANDI.RA,PRNSO.RA,PLALA.RA,VERPG.RA,THLAR.RA,POLCO.RA,VICVI.RA,POAAN.RA,ambel.g.ra,amare.g.ra,setfa.g.ra,setpu.g.ra,digsa.g.ra,digis.g.ra,vioar.g.ra,oxast.g.ra,cheal.g.ra,erica.g.ra,secce.g.ra,cervu.g.ra,medlu.g.ra,sopt7.g.ra,verar.g.ra,abuth.g.ra,tarof.g.ra,steme.g.ra,angar.g.ra,trfre.g.ra,plama.g.ra,accvi.g.ra,cypes.g.ra,polpe.g.ra,crunu.g.ra,pandi.g.ra,prnso.g.ra,plala.g.ra,verpg.g.ra,thlar.g.ra,polco.g.ra,vicvi.g.ra,poaan.g.ra
101,1,112,row,1,99.8,3992,0.3035,0.1403,0.1335,328,82.092,3.658536585,0,81.40243902,0,0,0.609756098,0,0.609756098,0,1.219512195,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.36290991,0,59.08005652,0,0,0.090142767,0,0.051162111,0,0.092579058,16.32314964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,28,row,1,57.2,2288,0.1819,0.1593,0.1619,179,80.907,10.61452514,0,75.41899441,0,0,2.234636872,0,0.558659218,0,1.117318436,10.05586592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.54065779,0,36.70881382,0,0,0.28798497,0,0.03707961,0,0.672376927,10.75308688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,112,grid,1,66.2,2648,0.1201,0.0786,0.0683,109,51.125,17.43119266,0,75.2293578,1.834862385,0.917431193,0,0,0.917431193,0,0.917431193,2.752293578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.05134474,0,47.25867971,0.575061125,0.037163814,0,0.228850856,0.046943765,0,0.058679707,0.743276284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,56,row,1,73.3,2932,0.1811,0.1769,0.1793,220,66.963,8.636363636,0,74.09090909,0,0.454545455,0,2.272727273,0.454545455,0,0.454545455,13.63636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.73670534,0,47.6143542,0,0.016426982,0,0.312112659,0.041814136,0,0.046294222,15.23229246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,168,grid,1,47.2,1888,0.0785,0.1344,0.1247,167,67.922,17.36526946,0,64.67065868,0,0,0,0,0.598802395,0,1.19760479,16.16766467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.06890256,0,34.18038338,0,0,0,0,0.060363358,0,0.242925709,5.447424987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,0,na,1,0,0,0.0001,0,0.0001,77,257.435,23.37662338,0,75.32467532,1.298701299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.14871715,0,10.83069513,0.020587721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,56,grid,1,104.8,4192,0.2894,0.1749,0.1839,196,71.252,7.142857143,0,74.48979592,3.06122449,0,0,0,0.510204082,0,4.081632653,10.20408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510204082,42.66546904,0,48.23162859,0.915062033,0,0,0,0.102453264,0,0.89962387,6.596306069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589457138
108,1,28,grid,1,62.2,2488,0.1295,0.1052,0.1116,90,77.079,11.11111111,0,44.44444444,1.111111111,0,0,3.333333333,0,0,2.222222222,35.55555556,0,0,0,0,1.111111111,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0,0,0,53.84086457,0,27.07871145,0,0,0,0.573437642,0.203687126,0,1.994058044,14.91975765,0,0,0,0,0.494298058,0,0,0,0,0,0,0,0,0,0.895185459,0,0,0,0,0,0,0
109,1,168,row,1,77.9,3116,0.1911,0.1402,0.1485,139,59.564,2.877697842,0,84.89208633,0,0,1.438848921,1.438848921,0,0,1.438848921,7.194244604,0,0,0,0,0,0.71942446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.065878719,0,86.13759989,0,0,0.359277416,0.058760325,0,0,0.535558391,3.021959573,0,0,0,0,0,0.820965684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1,112,grid,2,51.3,2052,0.1215,0.1195,0.1273,158,48.133,4.430379747,0.632911392,72.15189873,6.962025316,0,0,1.265822785,0,0,3.164556962,7.594936709,0.632911392,3.164556962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.11104648,0.033241227,51.10838718,3.031184426,0,0,0.199447365,0,0,3.922464837,3.531880415,0.153740677,2.9086074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
