year,plot,block,rate,pattern,can_a,can_b,can_b_weedy
1,101,1,112,row,0.3035,0.1403,0.1335
1,102,1,28,row,0.1819,0.1593,0.1619
1,103,1,112,grid,0.1201,0.0786,0.0683
1,104,1,56,row,0.1811,0.1769,0.1793
1,105,1,168,grid,0.0785,0.1344,0.1247
1,106,1,0,na,0.0001,0,0.0001
1,107,1,56,grid,0.2894,0.1749,0.1839
1,108,1,28,grid,0.1295,0.1052,0.1116
1,109,1,168,row,0.1911,0.1402,0.1485
1,201,2,112,grid,0.1215,0.1195,0.1273
1,202,2,168,row,0.1841,0.1151,0.1267
1,203,2,112,row,0.081,0.089,0.0914
1,204,2,56,row,0.0938,0.0826,0.0868
1,205,2,0,na,0.0022,0.0001,0.0019
1,206,2,56,grid,0.068,0.0787,0.0782
1,207,2,28,row,0.0547,0.1038,0.1103
1,208,2,28,grid,0.1108,0.0794,0.0842
1,209,2,168,grid,0.3246,0.092,0.0896
1,301,3,56,grid,0.1771,0.1174,0.1284
1,302,3,28,grid,0.206,0.161,0.1634
1,303,3,112,row,0.1874,0.1522,0.1551
1,304,3,28,row,0.2076,0.0774,0.0828
1,305,3,112,grid,0.1962,0.1644,0.1765
1,306,3,168,grid,0.3436,0.1365,0.1304
1,307,3,168,row,0.2395,0.1751,0.1737
1,308,3,56,row,0.0964,0.1372,0.1419
1,309,3,0,na,0.0005,0.0002,0.0036
2,101,1,28,row,0.1936,0.2497,0.2711
2,102,1,112,row,0.3818,0.3949,0.4568
2,103,1,112,grid,0.2818,0.3654,0.3769
2,104,1,168,grid,0.2728,0.2456,0.2578
2,105,1,168,row,0.2909,0.3154,0.3282
2,106,1,28,grid,0.236,0.2516,0.2625
2,107,1,56,grid,0.1734,0.1682,0.174
2,108,1,0,na,0.0001,0.0001,0.0002
2,109,1,56,row,0.2967,0.242,0.246
2,201,2,56,grid,0.2151,0.2049,0.2097
2,202,2,56,row,0.1927,0.1894,0.1899
2,203,2,168,row,0.2298,0.3058,0.3105
2,204,2,28,row,0.2369,0.1432,0.1431
2,205,2,0,na,0.0003,0,0.0003
2,206,2,168,grid,0.3,0.2879,0.2902
2,207,2,28,grid,0.2974,0.1844,0.1857
2,208,2,112,grid,0.3104,0.2385,0.2415
2,209,2,112,row,0.3294,0.2793,0.2695
2,301,3,0,na,0,0,0
2,302,3,56,row,0.1693,0.2341,0.2417
2,303,3,56,grid,0.2165,0.1695,0.1674
2,304,3,112,row,0.3272,0.3223,0.3216
2,305,3,168,row,0.3742,0.3884,0.3978
2,306,3,28,row,0.0997,0.0541,0.054
2,307,3,28,grid,0.2163,0.203,0.2357
2,308,3,168,grid,0.3361,0.2492,0.2667
2,309,3,112,grid,0.211,0.1536,0.1625
