plot,rate,pattern,block,SETFA,AMBEL,AMARE,SETPU,DIGSA,DIGIS,VIOAR,VERAR,OXAST,SETVI,ERICA,SECCE,MEDLU,CERVU,PANDI,ABUTH,TRFRE,POAAN,CRUNU,STEME,TAROF,CHEAL,VICVI,POLCO,SOPT7,VERPE,THLAR,ANGAR,total,total_kg_ha
101,112,row,B1,45.7,20,0,0,0,0.074,0,0,0.042,2.8,0.076,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.092,1641.84
102,28,row,B1,26.4,41.7,0,0,0,0.233,0,0,0.03,3.3,0.544,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.907,1618.14
103,112,grid,B1,23,26.1,0,0.294,0.019,0,0.117,0,0.024,1.161,0.03,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.125,1022.5
104,56,row,B1,31.8,24.6,0,0,0.011,0,0.209,0,0.028,0.084,0.031,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.963,1339.26
105,168,grid,B1,22,40.8,0,0,0,0,0,0,0.041,1.216,0.165,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.922,1358.44
106,0,control,B1,27.5,229.5,0,0.053,0,0,0,0,0,0.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.435,5148.7
107,56,grid,B1,33.5,30.4,0,0.652,0,0,0,0,0.073,0.866,0.641,4.7,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,71.252,1425.04
108,28,grid,B1,19.9,41.5,0,0,0,0,0.442,0,0.157,0.972,1.537,11.5,0,0,0.69,0.381,0,0,0,0,0,0,0,0,0,0,0,0,77.079,1541.58
109,168,row,B1,51.1,5.4,0,0,0,0.214,0.035,0,0,0.207,0.319,1.8,0,0,0,0,0,0,0,0,0.489,0,0,0,0,0,0,0,59.564,1191.28
201,112,grid,B2,20,16.9,0.016,1.459,0,0,0.096,0,0,4.6,1.888,1.7,1.4,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.133,962.66
202,168,row,B2,13,29.2,0.093,0,0.399,0.065,0.343,0,0.029,1.54,0.675,4.5,0,0.068,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,49.938,998.76
203,112,row,B2,21.4,8.6,0,1.266,0,0.071,0.388,0.02,0.134,1.377,0.048,1.6,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,37.704,754.08
204,56,row,B2,24.1,17.4,0,4.4,0,0,0.05,0.06,0,1.828,0,4.1,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,54.038,1080.76
205,0,control,B2,29.2,143.7,0,0,0.061,0,0.59,0,0.068,1.26,0,0,0.476,0,0,0,0,0,0,0.501,0,0,0,0,0,0,0,0,175.856,3517.12
206,56,grid,B2,30.9,25.1,0,0.267,0,0.061,0.13,0,0,2.04,0.033,8.8,0,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,79.431,1588.62
207,28,row,B2,35.3,16.3,0,1.688,0,0,0.064,0,0,0,0,0,0,0.048,0,0,2.643,0,0,0,0,0,0,0,0,0,0,0,56.043,1120.86
208,28,grid,B2,18.5,27.8,0,0,0,0,0.148,0,0,1.031,0.664,1.6,0,0.023,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,61.466,1229.32
209,168,grid,B2,32.7,14.3,0,0,0,0,0.017,0,0,1.7,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,61.889,1237.78
301,56,grid,B3,52.8,4.3,0,3.7,0.604,0.098,0.201,0,0.071,0.629,1.061,3.1,0,0.209,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,66.863,1337.26
302,28,grid,B3,37.7,19.6,0,0.343,0,0,0,0,0.051,6.3,0.006,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1,1502
303,112,row,B3,39.9,9.6,0,0,0,0.062,0.044,0,0.032,3.3,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.838,1256.76
304,28,row,B3,22.9,24.8,0,0.275,0.217,0,0.136,0,0.039,1.264,0.062,1.3,0,0,0,0,0,0.585,0,0,0,0,0,0,0,0,0,0,51.578,1031.56
305,112,grid,B3,20,7.4,0,0.576,0.025,0.477,0.062,0,0.015,0.819,0,1.8,0,0,0,0,0,0,29.3,0,0,0,0,0,0,0,0,0,60.474,1209.48
306,168,grid,B3,48.4,7.2,0,0,0.03,0,0,0,0.68,3.9,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.31,1446.2
307,168,row,B3,36,21.6,0,0.579,0.606,3.005,0.086,0,0.099,0.747,1.137,0,0,0.024,0,0,0.535,0,0,0,0.075,0,0,0,0,0,0,0,64.493,1289.86
308,56,row,B3,35.4,38.6,0,0,1.167,0,0.101,0,0.134,0.181,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,75.737,1514.74
309,0,control,B3,77.4,103.6,0.1,3.9,0.202,0.239,0,0.385,0.095,2.9,0,0,0,0.212,0,0.059,0,0,0,0,0,0.597,0,0.107,0.04,0.144,0.861,0,190.841,3816.82
