plot,sample,loc,root_g,rye_g,rate,pattern,block
101,IR1,IR,1.164,17,28,row,1
101,BR1,BR,0.124,0,28,row,1
101,IR2,IR,2.153,22.2,28,row,1
101,BR2,BR,0.148,0,28,row,1
104,IR1,IR,0.907,12.1,168,grid,1
104,BR1,BR,0.281,0,168,grid,1
104,IR2,IR,0.978,16.6,168,grid,1
104,BR2,BR,0.126,0,168,grid,1
105,IR1,IR,1.035,11.1,168,row,1
105,BR1,BR,0.165,0,168,row,1
105,IR2,IR,0.74,8.1,168,row,1
105,BR2,BR,0.141,0,168,row,1
106,IR1,IR,1.043,14.9,28,grid,1
106,BR1,BR,0.044,0,28,grid,1
106,IR2,IR,0.875,10.5,28,grid,1
106,BR2,BR,0.122,0,28,grid,1
203,IR1,IR,1.284,15.5,168,row,2
203,BR1,BR,0.17,0,168,row,2
203,IR2,IR,0.193,15.1,168,row,2
203,BR2,BR,0.115,0,168,row,2
204,IR1,IR,1.876,18.9,28,row,2
204,BR1,BR,0.034,0,28,row,2
204,IR2,IR,1.41,21.8,28,row,2
204,BR2,BR,0.094,0,28,row,2
206,IR1,IR,1.216,13.1,168,grid,2
206,BR1,BR,0.099,0,168,grid,2
206,IR2,IR,0.717,8,168,grid,2
206,BR2,BR,0.111,0,168,grid,2
207,IR1,IR,1.34,19.6,28,grid,2
207,BR1,BR,0.058,0,28,grid,2
207,IR2,IR,1.099,27.5,28,grid,2
207,BR2,BR,0.111,0,28,grid,2
305,IR1,IR,0.886,7.8,168,row,3
305,BR1,BR,0.157,0,168,row,3
305,IR2,IR,0.859,10.7,168,row,3
305,BR2,BR,0.193,0,168,row,3
306,IR1,IR,0.81,9.2,28,row,3
306,BR1,BR,0.045,0,28,row,3
306,IR2,IR,0.897,15.2,28,row,3
306,BR2,BR,0.099,0,28,row,3
307,IR1,IR,0.725,15.1,28,grid,3
307,BR1,BR,0.05,0,28,grid,3
307,IR2,IR,0.743,11.2,28,grid,3
307,BR2,BR,0.1,0,28,grid,3
308,IR1,IR,0.528,6.9,168,grid,3
308,BR1,BR,0.143,0,168,grid,3
308,IR2,IR,0.587,7.6,168,grid,3
308,BR2,BR,0.148,0,168,grid,3
