plot,sample,root_tot,rye_g,rate,pattern,block
101,1,1.288,17,28,row,1
101,2,2.301,22.2,28,row,1
104,1,1.188,12.1,168,grid,1
104,2,1.104,16.6,168,grid,1
105,2,0.881,8.1,168,row,1
105,1,1.2,11.1,168,row,1
106,2,0.997,10.5,28,grid,1
106,1,1.087,14.9,28,grid,1
203,2,1.308,15.1,168,row,2
203,1,1.454,15.5,168,row,2
204,1,1.91,18.9,28,row,2
204,2,1.504,21.8,28,row,2
206,2,0.828,8,168,grid,2
206,1,1.315,13.1,168,grid,2
207,1,1.398,19.6,28,grid,2
207,2,1.21,27.5,28,grid,2
305,1,1.043,7.8,168,row,3
305,2,1.052,10.7,168,row,3
306,1,0.855,9.2,28,row,3
306,2,0.996,15.2,28,row,3
307,2,0.843,11.2,28,grid,3
307,1,0.775,15.1,28,grid,3
308,1,0.671,6.9,168,grid,3
308,2,0.735,7.6,168,grid,3
