plot,rate,pattern,block,stage,diameter,height,who,year
206,56,Grid,2,25,na,17.80,Laurel,2022
207,28,Row,2,25,na,15.20,Laurel,2022
207,28,Row,2,25,na,17.80,Laurel,2022
207,28,Row,2,25,na,25.40,Laurel,2022
304,112,Row,3,41,na,16.51,Laurel,2023
304,112,Row,3,31,na,25.40,Laurel,2023
301,56,Grid,3,25,na,15.20,Laurel,2022
301,56,Grid,3,25,na,15.20,Laurel,2022
301,56,Grid,3,25,na,17.80,Laurel,2022
301,56,Grid,3,25,na,17.80,Laurel,2022
302,28,Grid,3,25,na,15.20,Laurel,2022
302,28,Grid,3,25,na,20.30,Laurel,2022
302,28,Grid,3,25,na,20.30,Laurel,2022
302,28,Grid,3,30,na,25.40,Laurel,2022
304,28,Row,3,25,na,17.80,Laurel,2022
304,28,Row,3,25,na,22.90,Laurel,2022
304,28,Row,3,25,na,188.00,Laurel,2022
308,56,Row,3,25,na,17.80,Laurel,2022
202,56,Row,2,25,na,21.59,Laurel,2023
202,56,Row,2,31,na,30.48,Laurel,2023
208,112,Grid,2,31,na,19.05,Laurel,2023
106,28,Grid,1,41,na,17.78,Noelle,2023
106,28,Grid,1,41,na,22.86,Noelle,2023
106,28,Grid,1,41,na,22.86,Noelle,2023
101,112,Row,1,69,na,15.20,Laurel,2022
101,112,Row,1,71,na,20.30,Laurel,2022
101,112,Row,1,na,na,20.30,Laurel,2022
104,56,Row,1,25,na,12.70,Laurel,2022
104,56,Row,1,25,na,17.80,Laurel,2022
104,56,Row,1,25,na,17.80,Laurel,2022
104,56,Row,1,25,na,22.90,Laurel,2022
104,56,Row,1,25,na,22.90,Laurel,2022
104,56,Row,1,25,na,25.40,Laurel,2022
104,56,Row,1,41,na,25.40,Laurel,2022
105,168,Grid,1,61,na,38.10,Laurel,2022
108,28,Grid,1,25,na,12.70,Laurel,2022
108,28,Grid,1,25,na,15.20,Laurel,2022
206,56,Grid,2,61,2,86.40,Laurel,2022
209,168,Grid,2,69,2,91.40,Laurel,2022
304,112,Row,3,71,2,105.41,Laurel,2023
309,112,Grid,3,71,2,111.76,Noelle,2023
202,56,Row,2,67,2,115.57,Laurel,2023
206,168,Grid,2,69,2,113.03,Noelle,2023
206,168,Grid,2,71,2,114.30,Noelle,2023
103,112,Grid,1,69,2,129.54,Laurel,2023
104,168,Grid,1,71,2,118.11,Noelle,2023
107,56,Grid,1,67,2,104.14,Laurel,2023
101,112,Row,1,69,2,111.80,Laurel,2022
106,28,Grid,1,65,5.77,147.32,Noelle,2023
106,28,Grid,1,67,5.59,147.32,Noelle,2023
204,28,Row,2,63,5.34,154.94,Noelle,2023
101,28,Row,1,65,5.31,172.72,Noelle,2023
106,28,Grid,1,61,5.12,167.64,Noelle,2023
101,28,Row,1,65,5.1,180.34,Noelle,2023
106,28,Grid,1,63,5.04,151.13,Noelle,2023
106,28,Grid,1,59,5.02,165.10,Noelle,2023
106,28,Grid,1,59,5.01,149.86,Noelle,2023
109,56,Row,1,64,5.01,165.10,Noelle,2023
109,56,Row,1,59,4.94,157.48,Noelle,2023
302,56,Row,3,67,4.84,176.53,Noelle,2023
204,28,Row,2,61,4.82,148.59,Noelle,2023
303,56,Grid,3,43,4.81,54.61,Noelle,2023
303,56,Grid,3,65,4.81,157.48,Noelle,2023
101,28,Row,1,61,4.81,144.78,Noelle,2023
302,56,Row,3,63,4.8,152.40,Noelle,2023
101,28,Row,1,63,4.75,167.64,Noelle,2023
106,28,Grid,1,61,4.75,154.94,Noelle,2023
102,112,Row,1,71,4.73,157.48,Noelle,2023
307,28,Grid,3,59,4.72,152.40,Noelle,2023
204,28,Row,2,59,4.68,138.43,Noelle,2023
106,28,Grid,1,69,4.68,144.78,Noelle,2023
204,28,Row,2,63,4.61,142.24,Noelle,2023
106,28,Grid,1,59,4.61,144.78,Noelle,2023
101,28,Row,1,63,4.6,170.18,Noelle,2023
201,56,Grid,2,65,4.57,172.72,Laurel,2023
109,56,Row,1,61,4.57,162.56,Noelle,2023
101,28,Row,1,69,4.55,167.64,Noelle,2023
303,56,Grid,3,63,4.54,163.83,Noelle,2023
306,28,Row,3,59,4.53,152.40,Laurel,2023
106,28,Grid,1,59,4.53,137.16,Noelle,2023
106,28,Grid,1,61,4.53,146.05,Noelle,2023
106,28,Grid,1,63,4.53,165.10,Noelle,2023
106,28,Grid,1,63,4.51,167.64,Noelle,2023
307,28,Grid,3,65,4.5,130.81,Noelle,2023
302,56,Row,3,63,4.49,163.83,Noelle,2023
206,168,Grid,2,65,4.49,162.56,Noelle,2023
302,56,Row,3,61,4.48,162.56,Noelle,2023
106,28,Grid,1,63,4.48,175.26,Noelle,2023
204,28,Row,2,63,4.44,147.32,Noelle,2023
104,168,Grid,1,69,4.44,152.40,Noelle,2023
207,28,Grid,2,59,4.43,142.24,Noelle,2023
302,56,Row,3,65,4.42,172.72,Noelle,2023
101,28,Row,1,59,4.42,149.86,Noelle,2023
101,28,Row,1,59,4.42,152.40,Noelle,2023
204,28,Row,2,59,4.4,144.78,Noelle,2023
207,28,Grid,2,61,4.4,153.67,Noelle,2023
102,28,Row,1,63,4.4,139.70,Laurel,2022
302,56,Row,3,65,4.38,175.26,Noelle,2023
307,28,Grid,3,61,4.38,139.70,Noelle,2023
207,28,Grid,2,63,4.38,147.32,Noelle,2023
109,56,Row,1,63,4.38,149.86,Noelle,2023
307,28,Grid,3,59,4.36,127.00,Noelle,2023
204,28,Row,2,65,4.36,143.51,Noelle,2023
101,28,Row,1,59,4.36,154.94,Noelle,2023
107,56,Grid,1,59,4.36,144.78,Laurel,2023
302,56,Row,3,63,4.35,152.40,Noelle,2023
101,28,Row,1,59,4.35,147.32,Noelle,2023
107,56,Grid,1,67,4.35,162.56,Laurel,2023
303,56,Grid,3,65,4.34,162.56,Noelle,2023
209,112,Row,2,69,4.34,160.02,Noelle,2023
106,28,Grid,1,59,4.34,144.78,Noelle,2023
106,28,Grid,1,59,4.34,149.86,Noelle,2023
302,28,Grid,3,63,4.32,139.70,Laurel,2022
202,56,Row,2,67,4.32,157.48,Laurel,2023
202,56,Row,2,65,4.32,171.45,Laurel,2023
101,28,Row,1,61,4.32,152.40,Noelle,2023
102,112,Row,1,65,4.32,149.86,Noelle,2023
207,28,Grid,2,61,4.31,132.08,Noelle,2023
207,28,Grid,2,63,4.29,143.51,Noelle,2023
109,56,Row,1,64,4.28,162.56,Noelle,2023
201,56,Grid,2,65,4.27,165.10,Laurel,2023
