date,plot,block,rate,pattern,tillers_n
6/21/22,101,1,112,r,32
6/21/22,102,1,28,r,42
6/21/22,103,1,112,g,20
6/21/22,104,1,56,r,38
6/21/22,105,1,168,g,49
6/21/22,106,1,0,na,0
6/21/22,107,1,56,g,36
6/21/22,108,1,28,g,24
6/21/22,109,1,168,r,40
6/21/22,201,2,112,g,34
6/21/22,202,2,168,r,25
6/21/22,203,2,112,r,31
6/21/22,204,2,56,r,27
6/21/22,205,2,0,na,0
6/21/22,206,2,56,g,40
6/21/22,207,2,28,r,44
6/21/22,208,2,28,g,33
6/21/22,209,2,168,g,61
6/21/22,301,3,56,g,32
6/21/22,302,3,28,g,25
6/21/22,303,3,112,r,20
6/21/22,304,3,28,r,27
6/21/22,305,3,112,g,17
6/21/22,306,3,168,g,23
6/21/22,307,3,168,r,28
6/21/22,308,3,56,r,42
6/21/22,309,3,0,na,0
