plot,block,rate,pattern,tillers_n,seeds_n,total_germ,total_seeds,germ_ratio
101,1,112,r,32,104,36,100,0.36
102,1,28,r,42,485,53,100,0.53
103,1,112,g,20,105,26,100,0.26
104,1,56,r,38,503,39,100,0.39
105,1,168,g,49,250,65,100,0.65
106,1,0,na,0,0,0,0,0
107,1,56,g,36,382,57,100,0.57
108,1,28,g,24,410,58,100,0.58
109,1,168,r,40,133,31,100,0.31
201,2,112,g,34,213,50,100,0.5
202,2,168,r,25,80,32,80,0.4
203,2,112,r,31,161,46,100,0.46
204,2,56,r,27,171,26,100,0.26
205,2,0,na,0,0,0,0,0
206,2,56,g,40,306,54,100,0.54
207,2,28,r,44,453,70,100,0.7
208,2,28,g,33,537,42,100,0.42
209,2,168,g,61,265,66,100,0.66
301,3,56,g,32,459,41,100,0.41
302,3,28,g,25,596,45,100,0.45
303,3,112,r,20,323,65,100,0.65
304,3,28,r,27,442,46,100,0.46
305,3,112,g,17,131,51,100,0.51
306,3,168,g,23,182,55,100,0.55
307,3,168,r,28,117,42,100,0.42
308,3,56,r,42,585,61,100,0.61
309,3,0,na,0,0,0,0,0
