plot,block,rate,year,pattern,sp_can_weedy,sp_can,steme.n,erpve.n,cervu.n,vioar.n,carhi.n,lamam.n,verar.n,un1.n,un2.n,tarof.n,thistle.n,poaan.n,rye_g,rye_bio,weeds_g,weeds_bio,verar_bio,abuth_bio,lamam_bio,cervu_bio,steme_bio,erpve_bio,tarof_bio,cheal_bio,setfa_bio,prnso_bio,trfre_bio,poatr_bio,unknown_bl_bio,medlu_bio,oxast_bio,vioar_bio,thlar_bio,verpg_bio,cirae_bio,ambel_bio,carhi_bio,peak_counts,AMBEL.N,AMARE.N,SETFA.N,SETPU.N,DIGSA.N,DIGIS.N,VIOAR.N,OXAST.N,CHEAL.N,ERICA.N,SECCE.N,CERVU.N,MEDLU.N,SOPT7.N,VERAR.N,ABUTH.N,TAROF.N,STEME.N,ANGAR.N,TRFPR.N,PLAMA.N,ACCVI.N,CYPES.N,POLPE.N,CRUNU.N,PANDI.N,PRNSO.N,PLALA.N,VERPG.N,THLAR.N,POLCO.N,VICVI.N,POAAN.N,peak_bio,peak_kg,AMBEL_BIO,AMARE_BIO,SETFA_BIO,SETPU_BIO,DIGSA_BIO,DIGIS_BIO,VIOAR_BIO,OXAST_BIO,CHEAL_BIO,ERICA_BIO,SECCE_BIO,CERVU_BIO,MEDLU_BIO,SOPT7_BIO,VERAR_BIO,ABUTH_BIO,TAROF_BIO,STEME_BIO,ANGAR_BIO,TRFPR_BIO,PLAMA_BIO,ACCVI_BIO,CYPES_BIO,POLPE_BIO,CRUNU_BIO,PANDI_BIO,PRNSO_BIO,PLALA_BIO,VERPG_BIO,THLAR_BIO,POLCO_BIO,VICVI_BIO,POAAN_BIO
101,1,112,1,r,0.1403,0.1335,1,8,0,0,0,0,0,0,0,0,0,0,99.8,3992,0.513,20.52,0.017,0,0,0,0.018,0.06,0,0,0,0,0,0,0,0,0,0.418,0,0,0,0,0,328,12,0,267,0,0,2,0,2,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.092,1641.84,20,0,48.5,0,0,0.074,0,0.042,0,0.076,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,28,1,r,0.1593,0.1619,3,1,0,0,0,0,0,0,0,0,0,0,57.2,2288,0.112,4.48,0,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,19,0,135,0,0,4,0,1,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.907,1618.14,41.7,0,29.7,0,0,0.233,0,0.03,0,0.544,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,112,1,g,0.0786,0.0683,4,9,0,0,0,0,0,0,0,0,0,0,66.2,2648,0.122,4.88,0.009,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,19,0,82,2,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.125,1022.5,26.1,0,24.161,0.294,0.019,0,0.117,0.024,0,0.03,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,56,1,r,0.1769,0.1793,5,0,0,0,0,0,0,0,0,0,0,0,73.3,2932,0.057,2.28,0.037,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,19,0,163,0,1,0,5,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.963,1339.26,24.6,0,31.884,0,0.011,0,0.209,0.028,0,0.031,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,168,1,g,0.1344,0.1247,6,0,0,0,0,1,0,0,0,0,0,0,47.2,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,29,0,108,0,0,0,0,1,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.922,1358.44,40.8,0,23.216,0,0,0,0,0.041,0,0.165,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,0,1,na,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836,33.44,0,0,0,0,0.828,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,77,18,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.435,5148.7,229.5,0,27.882,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,56,1,g,0.1749,0.1839,34,4,0,1,0,1,0,0,0,0,0,0,104.8,4192,0.077,3.08,0.03,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,14,0,146,6,0,0,0,1,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71.252,1425.04,30.4,0,34.366,0.652,0,0,0,0.073,0,0.641,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42
108,1,28,1,g,0.1052,0.1116,4,4,1,0,0,0,0,1,0,0,0,0,62.2,2488,0.328,13.12,0.161,0,0,0,0.123,0.002,0,0,0.003,0,0,0,0,0,0,0,0.034,0.005,0,0,0,90,10,0,40,1,0,0,3,0,0,2,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,77.079,1541.58,41.5,0,20.872,0,0,0,0.442,0.157,0,1.537,11.5,0,0,0,0,0.381,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0
109,1,168,1,r,0.1402,0.1485,14,2,0,0,0,1,0,0,0,0,0,0,77.9,3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,4,0,118,0,0,2,2,0,0,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.564,1191.28,5.4,0,51.307,0,0,0.214,0.035,0,0,0.319,1.8,0,0,0,0,0,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2,112,1,g,0.1195,0.1273,3,4,0,0,0,1,0,0,0,0,0,0,51.3,2052,0.044,1.76,0.021,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,7,1,114,11,0,0,2,0,0,5,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.133,962.66,16.9,0.016,24.6,1.459,0,0,0.096,0,0,1.888,1.7,0.074,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
