plot,block,rate,pattern,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77
101,1,28,row,0.303,0.078,0.341,0.105,0.048,0.077,0.097,0.147,0.139,0.185,0.437,0.093,0.188,0.045,0.154,0.263,0.079,0.197,0.341,0.057,0.131,0.066,0.235,0.082,0.37,0.359,0.201,0.151,0.221,0.089,0.121,0.263,0.031,0.097,0.332,0.141,0.241,0.066,0.242,0.129,0.091,0.341,0.096,0.227,0.079,0.025,0.022,0.018,0.43,0.04,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,112,row,0.179,0.125,0.015,0.101,0.125,0.1,0.024,0.059,0.038,0.222,0.077,0.074,0.188,0.043,0.05,0.053,0.033,0.031,0.08,0.069,0.014,0.032,0.048,0.277,0.085,0.175,0.017,0.076,0.179,0.036,0.071,0.102,0.095,0.077,0.02,0.042,0.029,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,112,grid,0.071,0.149,0.471,0.301,0.08,0.058,0.097,0.372,0.145,0.218,0.066,0.115,0.226,0.125,0.031,0.071,0.025,0.057,0.04,0.151,0.029,0.023,0.281,0.019,0.311,0.091,0.265,0.257,0.151,0.349,0.021,0.057,0.03,0.025,0.229,0.036,0.042,0.205,0.115,0.084,0.012,0.148,0.016,0.021,0.021,0.486,0.03,0.067,0.37,0.226,0.179,0.07,0.033,0.042,0.042,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,168,grid,0.026,0.066,0.122,0.204,0.028,0.087,0.054,0.141,0.101,0.085,0.07,0.039,0.017,0.01,0.022,0.073,0.132,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,168,row,0.022,0.187,0.2,0.031,0.206,0.072,0.426,0.039,0.147,0.251,0.14,0.031,0.023,0.045,0.191,0.367,0.154,0.135,0.395,0.088,0.245,0.024,0.146,0.039,0.073,0.054,0.03,0.087,0.477,0.029,0.063,0.398,0.108,0.289,0.24,0.054,0.195,0.039,0.015,0.146,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,28,grid,0.043,0.199,0.188,0.203,0.271,0.084,0.347,0.479,0.362,0.175,0.271,0.418,0.071,0.114,0.071,0.476,0.236,0.047,0.119,0.219,0.183,0.257,0.157,0.208,0.145,0.406,0.067,0.22,0.211,0.295,0.22,0.365,0.175,0.182,0.31,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,56,grid,0.542,0.135,0.128,0.128,0.141,0.272,0.024,0.14,0.058,0.045,0.029,0.04,0.149,0.742,0.068,0.29,0.023,0.061,0.124,0.035,0.06,0.059,0.234,0.081,0.082,0.116,0.097,0.248,0.017,0.131,0.171,0.221,0.214,0.352,0.239,0.092,0.225,0.049,0.121,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,56,row,0.059,0.308,0.114,0.126,0.678,0.432,0.26,0.029,0.084,0.135,0.522,0.071,0.218,0.15,0.481,0.099,0.06,0.174,0.044,0.055,0.225,0.225,0.125,0.065,0.091,0.206,0.093,0.154,0.122,0.057,0.066,0.521,0.142,0.279,0.066,0.019,0.16,0.061,0.103,0.098,0.173,0.064,0.065,0.035,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2,56,grid,0.018,0.054,0.467,0.194,0.558,0.05,0.062,0.02,0.368,0.044,0.035,0.038,0.114,0.116,0.245,0.132,0.052,0.162,0.192,0.262,0.099,0.084,0.161,0.082,0.131,0.089,0.272,0.154,0.064,0.164,0.29,0.199,0.218,0.331,0.225,0.209,0.113,0.058,0.109,0.119,0.164,0.339,0.248,0.155,0.488,0.429,0.049,0.068,0.012,0.113,0.36,0.149,0.089,0.087,0.086,0.03,0.072,0.103,0.025,0.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2,56,row,0.026,0.037,0.021,0.128,0.097,0.067,0.048,0.099,0.024,0.323,0.425,0.579,0.544,0.017,0.097,0.237,0.018,0.087,0.1,0.143,0.578,0.175,0.306,0.062,0.345,0.075,0.405,0.404,0.141,0.049,0.016,0.411,0.109,0.208,0.155,0.079,0.056,0.063,0.146,0.039,0.203,0.339,0.159,0.363,0.024,0.037,0.079,0.036,0.418,0.362,0.041,0.209,0.099,0.451,0.241,0.113,0.109,0.372,0.03,0.036,0.07,0.272,0.027,0.114,0.017,0.111,0.027,0.213,0.07,0.088,0.035,0.042,0.282,0.102,0.054,0.049,0.011
