plot,rate,pattern,treatment,block,rye_seedlings,fall_can_A,fall_can_B,sp_can_A,sp_can_B_weeded,sp_can_B_weedy,sp_can_B_weeds,STEME_B,ERPVE_B,CERVU_B,VIOAR_B,CARHI_B,LAMAM_B,VERAR_B,ROSETTE_B,DISSECTED_B,TAROF_B,THISLE_B,rolled_can,rye_g0.25m,rye_KgHa,STEME_bio,VERAR_bio,VIOAR_bio,CERVU_bio,THLAR_bio,SETFA_bio,ERPVE_bio,VERPG_bio,CIRAE_bio,AMBEL_bio,LAMAM_bio,CHEAL_bio,CARHI_bio,weeds_g0.25m,weeds_KgHa,rye_g0.125m,rye_phen_KgHa,tillers_n,soybean_17.5,soybean_ac
101,112,row,112r,B1,123,0.0068,0.0844,0.3035,0.1403,0.1335,-0.0068,1,8,0,0,0,0,0,0,0,0,0,0.7573,99.8,3992,0.018,0.017,0.418,0,0,0,0.06,0,0,0,0,0,0,0.513,20.52,62.7,5016,32,158,158000
102,28,row,28r,B1,39,0.0252,0.0397,0.1819,0.1593,0.1619,0.0026,3,1,0,0,0,0,0,0,0,0,0,0.4725,57.2,2288,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0.112,4.48,25.8,2064,42,157,157000
103,112,grid,112g,B1,115,0.0484,0.0268,0.1201,0.0786,0.0683,-0.0103,4,9,0,0,0,0,0,0,0,0,0,0.6231,66.2,2648,0.113,0.009,0,0,0,0,0,0,0,0,0,0,0,0.122,4.88,32.3,2584,20,175,175000
104,56,row,56r,B1,68,0.015,0.0251,0.1811,0.1769,0.1793,0.0024,5,0,0,0,0,0,0,0,0,0,0,0.6664,73.3,2932,0.02,0.037,0,0,0,0,0,0,0,0,0,0,0,0.057,2.28,23.6,1888,38,203,203000
105,168,grid,168g,B1,155,0.0179,0.0275,0.0785,0.1344,0.1247,-0.0097,6,0,0,0,0,1,0,0,0,0,0,0.6442,47.2,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,1224,49,198,198000
106,0,control,control,B1,0,0.0001,0.0001,0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0192,0,0,0.828,0,0,0,0,0.008,0,0,0,0,0,0,0,0.836,33.44,0,0,0,191,191000
107,56,grid,56g,B1,92,0.0592,0.0135,0.2894,0.1749,0.1839,0.009,34,4,0,1,0,1,0,0,0,0,0,0.5044,104.8,4192,0.047,0.03,0,0,0,0,0,0,0,0,0,0,0,0.077,3.08,28.4,2272,36,206,206000
108,28,grid,28g,B1,41,0.0076,0.0072,0.1295,0.1052,0.1116,0.0064,4,4,1,0,0,0,0,1,0,0,0,0.3521,62.2,2488,0.123,0.161,0,0,0.034,0.003,0.002,0.005,0,0,0,0,0,0.328,13.12,26.4,2112,24,190,190000
109,168,row,168r,B1,154,0.0234,0.0395,0.1911,0.1402,0.1485,0.0083,14,2,0,0,0,1,0,0,0,0,0,0.5727,77.9,3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,1768,40,184,184000
201,112,grid,112g,B2,122,0.0267,0.0102,0.1215,0.1195,0.1273,0.0078,3,4,0,0,0,1,0,0,0,0,0,0.5597,51.3,2052,0.023,0.021,0,0,0,0,0,0,0,0,0,0,0,0.044,1.76,16.1,1288,34,197,197000
202,168,row,168r,B2,145,0.0299,0.0206,0.1841,0.1151,0.1267,0.0116,6,11,0,2,0,1,2,0,0,0,0,0.4906,71.3,2852,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0.056,2.24,33.2,2656,25,203,203000
203,112,row,112r,B2,115,0.0048,0.0013,0.081,0.089,0.0914,0.0024,7,0,0,0,0,0,3,0,0,0,0,0.3715,41.7,1668,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.44,22.1,1768,31,188,188000
204,56,row,56r,B2,67,0.0031,0.0095,0.0938,0.0826,0.0868,0.0042,3,2,0,0,1,0,0,0,0,0,0,0.3386,46.8,1872,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,6.68,21.3,1704,27,213,213000
205,0,control,control,B2,0,0.0004,0.0002,0.0022,0.0001,0.0019,0.0018,8,13,0,2,0,0,0,0,0,0,0,0.0166,0,0,2.871,0.576,0.022,0,0,0,0.204,0,0,0,1.27,0.039,0,4.982,199.28,0,0,0,197,197000
