plot,rate,pattern,treatment,block,sp_can
101,112,row,112r,B1,0.3035
102,28,row,28r,B1,0.1819
103,112,grid,112g,B1,0.1201
104,56,row,56r,B1,0.1811
105,168,grid,168g,B1,0.0785
106,0,control,control,B1,0.0001
107,56,grid,56g,B1,0.2894
108,28,grid,28g,B1,0.1295
109,168,row,168r,B1,0.1911
201,112,grid,112g,B2,0.1215
202,168,row,168r,B2,0.1841
203,112,row,112r,B2,0.081
204,56,row,56r,B2,0.0938
205,0,control,control,B2,0.0022
206,56,grid,56g,B2,0.068
207,28,row,28r,B2,0.0547
208,28,grid,28g,B2,0.1108
209,168,grid,168g,B2,0.3246
301,56,grid,56g,B3,0.1771
302,28,grid,28g,B3,0.206
303,112,row,112r,B3,0.1874
304,28,row,28r,B3,0.2076
305,112,grid,112g,B3,0.1962
306,168,grid,168g,B3,0.3436
307,168,row,168r,B3,0.2395
308,56,row,56r,B3,0.0964
309,0,control,control,B3,0.0005
101,112,row,112r,B1,0.1335
102,28,row,28r,B1,0.1619
103,112,grid,112g,B1,0.0683
104,56,row,56r,B1,0.1793
105,168,grid,168g,B1,0.1247
106,0,control,control,B1,0.0001
107,56,grid,56g,B1,0.1839
108,28,grid,28g,B1,0.1116
109,168,row,168r,B1,0.1485
201,112,grid,112g,B2,0.1273
202,168,row,168r,B2,0.1267
203,112,row,112r,B2,0.0914
204,56,row,56r,B2,0.0868
205,0,control,control,B2,0.0019
206,56,grid,56g,B2,0.0782
207,28,row,28r,B2,0.1103
208,28,grid,28g,B2,0.0842
209,168,grid,168g,B2,0.0896
301,56,grid,56g,B3,0.1284
302,28,grid,28g,B3,0.1634
303,112,row,112r,B3,0.1551
304,28,row,28r,B3,0.0828
305,112,grid,112g,B3,0.1765
306,168,grid,168g,B3,0.1304
307,168,row,168r,B3,0.1737
308,56,row,56r,B3,0.1419
309,0,control,control,B3,0.0036
